domaine,subDomine,label,altLabels
Culture,History,Numismatics,
Education,Curriculum,Teacher education curriculum,
Education,Curriculum,Modular instruction,"Modular courses, Modular curriculum, Modular learning, Modular training"
Information and communication,Communication research and policy,Nonverbal communication,
Information and communication,Information technology (hardware),Microcomputers,"PCs, Personal computers, Laptop computers"
Countries and country groupings,Europe,USSR,Soviet Union
"Politics, law and economics",Equipment and facilities,Acoustic equipment,
"Politics, law and economics",Economics,Economic doctrines,
"Politics, law and economics","Civil, military and mining engineering",Irrigation,"Irrigation canals, Irrigation engineering, Irrigation systems"
Science,Meteorology,Storms,
Countries and country groupings,Linguistic groupings,French speaking countries,
Social and human sciences,Human settlements and land use,Community action,Community work
Science,Meteorology,Evapotranspiration,
Culture,Culture,Cultural research,
Social and human sciences,Ethnic questions,Xenophobia,
Countries and country groupings,Africa,Madagascar,Malagasy Republic
Countries and country groupings,Ethnic and religious groupings,Islamic countries,
Science,Physical sciences,Nuclear fusion,Thermonuclear reactions
Science,Biology,Nervous systems,
Countries and country groupings,Americas and the Caribbean,Belize,British Honduras
"Politics, law and economics",Equipment and facilities,Safety devices,Protective safety devices
Culture,Performing arts,Vocal music,"Singing, Songs"
Science,Environmental sciences and engineering,Environmental economics,
Culture,Languages,Latvian,
Education,Educational population,Educational advisers,
Information and communication,Information sources,Guides to information sources,"Guides to literature sources, Literature guides"
Science,Geography and oceanography,Marine geology,
Culture,Religion,Religious communities,"Congregations, Religious orders"
"Politics, law and economics",Agriculture,Land economics,
Culture,Languages,Micronesian,
Culture,History,Heraldry,
Social and human sciences,Social systems,National stereotypes,Ethnic stereotypes
Culture,Culture,Cultural elite,
Culture,Literature,African literature,
Education,Educational facilities,University campuses,
Culture,Literature,Authors,Scriptwriters
Information and communication,Documentary information processing,Abstracting,
"Politics, law and economics",Equipment and facilities,Heat pumps,
"Politics, law and economics",Agriculture,Agricultural engineering,
Science,Science and research management,Research projects,
Science,Earth sciences,Sedimentary rocks,
Culture,Languages,Polish,
Science,Biology,Genetics,Genomics
"Politics, law and economics",Personnel management,Personnel selection,
Countries and country groupings,Geographic groupings,Mediterranean countries,
Culture,History,Genealogy,
"Politics, law and economics",Politics and government,Political sociology,
Science,Biology,Viruses,
Science,"Pollution, disasters and safety",Drought control,
"Politics, law and economics",Finance and trade,Accounting,
"Politics, law and economics",Legal systems,Courts,"Criminal courts, Judiciary, Supreme courts, Tribunals"
"Politics, law and economics",Manufacturing and transport engineering,Woodworking,"Wood crafting, Wood carving"
Science,Biology,Limnology,Freshwater biology
Countries and country groupings,Europe,Malta,
Science,Hydrology,River discharge,
Science,Natural sciences,Entomology,
Science,"Pollution, disasters and safety",Pollutants,Contaminants
Culture,Religion,Spiritualism,"Astrology, Occultism"
Countries and country groupings,Americas and the Caribbean,Guatemala,
"Politics, law and economics",Organization and management,Rationalization,
Science,Medical sciences,Forensic medicine,Legal medicine
Countries and country groupings,Asia and the Pacific,Tokelau,
Social and human sciences,Social problems,Sexual abuse,"Rape, Sexual violence"
Countries and country groupings,Africa,South Africa,
Culture,Languages,Indic languages,
Culture,Languages,Burmese,
Information and communication,Information technology (hardware),Printing equipment,Printing machines
Science,Earth sciences,Continental drift,
"Politics, law and economics",Finance and trade,Investment,
Social and human sciences,Population,Sex,
"Politics, law and economics",Economics,Price policy,"Price control, Price stabilization"
"Politics, law and economics",Legal systems,Sovereignty,
Social and human sciences,Social systems,Aggressiveness,
Education,Educational population,Postgraduates,
"Politics, law and economics",Agriculture,Agrarian structure,Agrarian systems
Science,Physical sciences,Mechanics,Statistical mechanics
Countries and country groupings,Africa,Tunisia,
Countries and country groupings,Africa,Chad,
"Politics, law and economics",Politics and government,Regionalism,
Countries and country groupings,Asia and the Pacific,Samoa,
"Politics, law and economics",Organization and management,Agricultural enterprises,
Science,Science and research management,Academies of science,
Science,Earth sciences,Volcanoes,
"Politics, law and economics",Human rights,Freedom of the press,Freedom of the media
Science,Physical sciences,Cosmic radiation,
"Politics, law and economics",Personnel management,Occupational mobility,"Career change, Occupational change"
Culture,Leisure,Recreational facilities,Recreational centres
Culture,Languages,Dutch,
Information and communication,Information sources,Magnetic tape recordings,"Sound cassettes, Tape recordings"
